Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
100;4.966;LTY;Lutry;Aussenperron;2;2;130.89;P 42;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Gitterrost;SBB;35328373;46.5043824114, 6.68950680326;46.5037738968,6.69096572685;8501122;http://lod.opentransportdata.swiss/didok/8501122
100;8.411;CU;Cully;Hausperron;1;1;171.95;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35337491;46.4880917479, 6.72586782355;46.488788598,6.72786553454;8501124;http://lod.opentransportdata.swiss/didok/8501124
100;13.474;RIV;Rivaz;Aussenperron;2;2;170.0;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;130630261;46.4739586794, 6.78363017959;46.4742775459,6.78579486493;8501126;http://lod.opentransportdata.swiss/didok/8501126
100;18.501;VV;Vevey;Mittelperron;2/4;2 / 4;41.54;P 20;V 4-5;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Granit;Kein;SBB;35339640;46.4626111709, 6.844697886;46.4623559412,6.84509286871;8501200;http://lod.opentransportdata.swiss/didok/8501200
100;19.788;TOUR;La Tour-de-Peilz;Aussenperron;2;2;206.07;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35356205;46.4562565958, 6.85857905754;46.4549608334,6.8604971049;8501201;http://lod.opentransportdata.swiss/didok/8501201
100;29.254;VIL;Villeneuve VD;Hausperron;1;1;176.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35330138;46.3991592653, 6.92703581601;46.3975743457,6.92705167658;8501303;http://lod.opentransportdata.swiss/didok/8501303
100;33.742;ROC;Roche VD;Hausperron;1;1;244.01;P 25;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35311484;46.3594941226, 6.92645918007;46.3575183511,6.92784036869;8501304;http://lod.opentransportdata.swiss/didok/8501304
100;39.138;AIG;Aigle;Mittelperron;2/3;2 / 3;325.34;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35312494;46.3182665896, 6.96267298868;46.3155179146,6.96411942361;8501400;http://lod.opentransportdata.swiss/didok/8501400
100;39.446;AIG;Aigle;;;1;30.89;P 25;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;SBB;273701029;46.3157019724, 6.96418459574;46.3154433478,6.96432695488;8501400;http://lod.opentransportdata.swiss/didok/8501400
100;51.392;SM;St-Maurice;Mittelperron;2/3;2;429.14;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;48982049;46.2179207311, 7.00203563806;46.2140738331,7.00204760759;8501403;http://lod.opentransportdata.swiss/didok/8501403
100;57.789;EV;Evionnaz;Aussenperron;2;2;150.09;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35316201;46.1698489441, 7.02539872022;46.1685621073,7.0259866153;8501404;http://lod.opentransportdata.swiss/didok/8501404
100;66.291;MA;Martigny;Hausperron;1;1;120.34;P 42;;nicht vorhanden;konstant;Ortsbeton;;Andere;elements prefabriques;Kein;SBB;35332088;46.1062024126, 7.07650681704;46.1060137795,7.078039136;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;66.336;MA;Martigny;Hilfskante;20;;100.91;P 55;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;TMR;35314232;46.1060554413, 7.077068312;46.1058759838,7.07834753657;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;66.411;MA;Martigny;Hausperron;1;1;149.41;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;elements prefabriques;Gitterrost;SBB;35330303;46.1060137795, 7.078039136;46.1059473162,7.07996692076;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;82.031;CHA;Chamoson-St-Pierre-de-Clages;Aussenperron;2;2;150.22;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35310983;46.1883043159, 7.24018449271;46.1892417233,7.24158591243;8501504;http://lod.opentransportdata.swiss/didok/8501504
100;88.002;CHF;Chateauneuf-Conthey;Hausperron;1;1;152.68;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35323672;46.2158990821, 7.30428788853;46.2163040374,7.30617852752;8501510;http://lod.opentransportdata.swiss/didok/8501510
100;107.907;SIE;Sierre/Siders;Mittelperron;2/3;2;15.55;P 20;;nicht vorhanden;auslaufend;Ortsbeton;;Naturstein;;Kein;SBB;272349377;46.2909921278, 7.53038203457;46.2910752628,7.5305419025;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;108.345;SIE;Sierre/Siders;Mittelperron;2/3;3;10.25;P 20;;nicht vorhanden;auslaufend;Ortsbeton;;Naturstein;;Kein;SBB;272349917;46.2929114818, 7.5353405775;46.2929594221,7.53545421121;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;112.178;SAL;Salgesch;Hausperron;1;1;150.18;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35322923;46.3090960883, 7.57723620269;46.30943214,7.57912171373;8501600;http://lod.opentransportdata.swiss/didok/8501600
100;112.329;SAL;Salgesch;Hausperron;1;1;129.53;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35363392;46.30943214, 7.57912171373;46.3099163706,7.58064843345;8501600;http://lod.opentransportdata.swiss/didok/8501600
100;117.496;LK;Leuk;Aussenperron;2;2;406.63;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35338788;46.3123680356, 7.64263291386;46.3108114072,7.64740977714;8501601;http://lod.opentransportdata.swiss/didok/8501601
100;125.749;GA;Gampel-Steg;Mittelperron;3/4;3 / 4;260.02;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35340643;46.3064147696, 7.74607585688;46.307115363,7.74929609848;8501603;http://lod.opentransportdata.swiss/didok/8501603
100;129.955;RAR;Raron;Mittelperron;2/3;2;260.13;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;Granit;Kein;SBB;35348513;46.3062279078, 7.7997657066;46.3064741151,7.80312228242;8501604;http://lod.opentransportdata.swiss/didok/8501604
100;130.017;RAR;Raron;Aussenperron;1;;83.04;P 25;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;Granit;Kein;SBB;35332397;46.3062305853, 7.80057662005;46.306314106,7.80164765353;8501604;http://lod.opentransportdata.swiss/didok/8501604
100;136.508;VI;Visp;Mittelperron;4/5;5;430.32;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35365072;46.2941380135, 7.87950810303;46.2940145754,7.8850896119;8501605;http://lod.opentransportdata.swiss/didok/8501605
100;145.815;BR;Brig;Mittelperron;6/7;6 / 7;358.6;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35320801;46.3198569944, 7.99144597084;46.3198473291,7.98679204016;8501609;http://lod.opentransportdata.swiss/didok/8501609
107;145.451;BR;Brig;Mittelperron;6/7;6 / 7;357.9;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35345328;46.3197919755, 7.98679249524;46.3198095293,7.99143737373;8501609;http://lod.opentransportdata.swiss/didok/8501609
111;0.798;VV;Vevey;Aussenperron;1;1;68.42;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35344441;46.4679187084, 6.83588346999;46.4684041922,6.83533647599;8501200;http://lod.opentransportdata.swiss/didok/8501200
111;5.564;CHX;Chexbres-Village;Aussenperron;1;1;82.48;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;240645513;46.4811596263, 6.77907059786;46.4810189572,6.77801730278;8504013;http://lod.opentransportdata.swiss/didok/8504013
131;26.755;STGI;St-Gingolph (Suisse);Aussenperron;1;1;155.88;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35369389;46.3919317781, 6.80645749714;46.3928429885,6.80491784922;8501428;http://lod.opentransportdata.swiss/didok/8501428
150;0.111;LS;Lausanne;Mittelperron;7/8;8;272.04;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35341770;46.5166761952, 6.62751876172;46.5161247757,6.63096757276;8501120;http://lod.opentransportdata.swiss/didok/8501120
150;0.195;LS;Lausanne;Mittelperron;3/4;4;353.83;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35356921;46.5171552791, 6.62659296956;46.516353059,6.63104826615;8501120;http://lod.opentransportdata.swiss/didok/8501120
150;2.244;PRMA;Prilly-Malley;Aussenperron;1;1;219.91;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;59903559;46.5261697129, 6.6038606524;46.5270357791,6.60128493681;8518452;http://lod.opentransportdata.swiss/didok/8518452
150;4.331;REN;Renens VD;Mittelperron;2/3 (2);;420.54;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Kein;SBB;254269994;46.5362867921, 6.58102321702;46.5385366968,6.57661664432;8501118;http://lod.opentransportdata.swiss/didok/8501118
150;10.087;LON;Lonay-Preverenges;Aussenperron;2;2;154.15;P 30;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35318204;46.52327421, 6.51997281427;46.52258616,6.5182287773;8501048;http://lod.opentransportdata.swiss/didok/8501048
150;12.269;MOR;Morges;Mittelperron;2/3;2;335.61;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;207702333;46.5125836384, 6.49615229697;46.5105779851,6.49288449758;8501037;http://lod.opentransportdata.swiss/didok/8501037
150;12.689;MOR;Morges;Mittelperron;2/3;3;89.32;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35353956;46.510080453, 6.49205363385;46.5106446921,6.49287907;8501037;http://lod.opentransportdata.swiss/didok/8501037
150;14.81;TOL;Tolochenaz;Aussenperron;2;;186.79;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;224798582;46.4962861543, 6.47421061455;46.4972857998,6.4761618359;8501046;http://lod.opentransportdata.swiss/didok/8501046
150;16.921;STP;St-Prex;Hausperron;1;1;151.42;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;263107312;46.4822846219, 6.45580469527;46.4812349495,6.454550811;8501036;http://lod.opentransportdata.swiss/didok/8501036
150;19.267;ETOY;Etoy;Aussenperron;1;1;13.61;<=P20;15;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35313824;46.4749784435, 6.42817106504;46.4749973138,6.42799599985;8501042;http://lod.opentransportdata.swiss/didok/8501042
150;21.376;ALL;Allaman;Hausperron;1;1;239.4;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35350069;46.4759861147, 6.40101353155;46.4753237761,6.39804763065;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;21.377;ALL;Allaman;Mittelperron;2/3;2 / 3;240.52;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35333936;46.4759175276, 6.40103237437;46.4752495141,6.39805387678;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;21.587;ALL;Allaman;Mittelperron;2/3;3;210.15;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35358236;46.4752775388, 6.3984559224;46.4758919515,6.40104326938;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;33.592;GLA;Gland;Hausperron;1;1;319.99;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;211699714;46.4214095324, 6.27067625781;46.4190628542,6.26826576329;8501031;http://lod.opentransportdata.swiss/didok/8501031
150;36.947;PRN;Prangins;Hausperron;1;;193.8;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;224805599;46.3967122519, 6.24570441917;46.3953911634,6.2440603266;8501040;http://lod.opentransportdata.swiss/didok/8501040
150;38.261;NY;Nyon;Mittelperron;2/3;2 / 3;57.85;P 30;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Beton;Elem. prefabrique;Kein;SBB;35373369;46.3863485585, 6.23801778216;46.3859361207,6.23756127945;8501030;http://lod.opentransportdata.swiss/didok/8501030
150;38.338;NY;Nyon;Hausperron;1;1;318.78;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;Elem. prefabrique;Gitterrost;SBB;35341309;46.385755409, 6.23748627767;46.3835426077,6.2348505464;8501030;http://lod.opentransportdata.swiss/didok/8501030
150;38.664;NY;Nyon;Mittelperron;2/3;3;16.2;<=P20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;262916722;46.3835567908, 6.23468177406;46.3834388653,6.23456112482;8501030;http://lod.opentransportdata.swiss/didok/8501030
